metin,kategori,label,intent,intent_label,oncelik,oncelik_label,stil,kaynak
Giriş kapıları otomatikleşsin.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,relabel:ollama
Yoğun saatlerde turnike geçişlerini hızlandırmak için döner kolların hafifletilmiş alaşımla değiştirilmesini teklif ediyorum.,mekanik_istasyon,0,suggestion,4,P4,3,standart,relabel:ollama
Kızılay M4 transfer merdiveni paletleri sallanıyor çatlak sesi geliyor kullanım kapatıldı.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Merdiven başlangıç plakası kalkık,mekanik_istasyon,0,fault_report,0,P1,0,cok_kisa,relabel:ollama
yuruyen merdıven kenarlarına koruyucu cıta takılsa ıyı olcak.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,relabel:ollama
Bariyer ne zaman takılır?,mekanik_istasyon,0,information_request,2,P4,3,cok_kisa,relabel:ollama
Şişhane istasyonu güney çıkışındaki arızalı yürüyen merdivenin onarım çalışması bugün akşam yoğun saatine kadar biter mi?,mekanik_istasyon,0,information_request,2,P4,3,standart,relabel:ollama
Gelir mi teknik ekip üst kata?,mekanik_istasyon,0,information_request,2,P4,3,devrik,relabel:ollama
turnike gecis kapi takildi halic,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Turnike mécanik sayaç durdu,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
asansor butonlari calismiyo dudullu alt,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Bostancı Marmaray transfer bariyeri reader takozu kırık kart okumuyor mekanik engel var.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Yürüyen merdiven fren çekiyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Kapali gecis acilmiyor gayrettepe yolcu gec kalir,mekanik_istasyon,0,fault_report,0,P2,1,yazim_yanlisi,relabel:ollama
Merdiven yanlarına fırça eklensin.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,relabel:ollama
Gayrettepe istasyonu bilet holündeki 3 numaralı yürüyen merdivenin tamir işlemi ne zaman tamamlanacaktır?,mekanik_istasyon,0,information_request,2,P4,3,standart,relabel:ollama
Turnike rotör kilitlenmiş,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
sishane yuruyen merdiven basamak plakasi kopuk,mekanik_istasyon,0,fault_report,0,P1,0,yazim_yanlisi,relabel:ollama
"İkitelli Sanayi geçiş torneleri açılma gecikmesi yaşıyor, kontrol ediliyor.",mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
turnike kolu geri donmuyo atasehir,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Bariyer kolu çöküverdi Mahmutbey çıkış,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Asansor yok engelli gecemiyor itu,mekanik_istasyon,0,fault_report,0,P2,1,yazim_yanlisi,relabel:ollama
Asansör kuyusu su birikintisi,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
turnike kolu donmuyo giris kat,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Osmanbey istasyonu 1 numaralı yürüyen merdiven freni çekmiyor ani durma tehlikesi var.,mekanik_istasyon,0,fault_report,0,P1,0,standart,relabel:ollama
Kozyatağı istasyonu 2 numaralı asansör kapı paneli sallanıyor cam kırılma riski var.,mekanik_istasyon,0,fault_report,0,P1,0,standart,relabel:ollama
Kaçta gelir asansör tamir ekibi?,mekanik_istasyon,0,information_request,2,P4,3,devrik,relabel:ollama
Asansör içi ayna takılsın.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,relabel:ollama
ym 05 titriyor mecidiyekoy peron,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Taksim istasyonu bilet holü yürüyen merdivenlerine fırça koruyucu takılması teknik güvenliği ve temizliği artıracaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,relabel:ollama
Yürüyen merdiven sesli çalışıyor Şirinevler,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Üsküdar turnike 3 kol sıkıştı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
yuruyen merdiven ani durdu bostanci,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Merdiven çalışıyor mu şimdi?,mekanik_istasyon,0,information_request,2,P4,3,cok_kisa,relabel:ollama
Yürüyen merdiven yön değiştirmiyor Hacıosman,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Açılır mı Gayrettepe bilet holü bariyerleri?,mekanik_istasyon,0,information_request,2,P3,2,devrik,relabel:ollama
Şart ek tutamak asansör kabin içine.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,relabel:ollama
"Kadıköy istasyonunda perona inen yürüyen merdivenlerin hiçbiri çalışmıyor, yaşlılar merdivenlerde perişan oldu.",mekanik_istasyon,0,fault_report,0,P2,1,,manuel_hedefli:p2_dolayli_cogulluk
turnike kapak takildi vezneciler cikis,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Ümraniye istasyonu yürüyen merdiven étape plakaları kırık ayak ucu takılıyor.,mekanik_istasyon,0,fault_report,0,P1,0,standart,relabel:ollama
Bagcilar peron katindaki asansor kapisi nezaman duzelir?,mekanik_istasyon,0,information_request,2,P3,2,yazim_yanlisi,relabel:ollama
Asansör kapısı takıldı Şirinevler peron,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Cikis kapisi acilmiyor personel yok pendik,mekanik_istasyon,0,fault_report,0,P2,1,yazim_yanlisi,relabel:ollama
Acil çıkış kilidi peron kapısı takılı.,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:gemini
Üsküdar istasyonu güney çıkış turnikesi kolu dönmüyor yolcular geçiş yapamıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Kapi arasi gecis kapali mecidiyekoy yolcu sikis,mekanik_istasyon,0,fault_report,0,P2,1,yazim_yanlisi,relabel:ollama
kadkoy asansr kabn yazici tozu dagli cok,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
asansor kata ara kaliyo dudullu,mekanik_istasyon,0,fault_report,0,P1,0,yazim_yanlisi,relabel:ollama
Bostancı istasyonu 1 numaralı asansör katlarda takılıp kalıyor çağrı butonu cevapsız.,mekanik_istasyon,0,incident_report,1,P1,0,standart,relabel:ollama
turnikenin kolu kirik ne zaman yapilcak bu?,mekanik_istasyon,0,information_request,2,P4,3,yazim_yanlisi,relabel:ollama
asansor kata asagi inmiyo sishane,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Turnike kolu kırıldı Ataköy bilet holü,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
ym 03 durma komutu almiyo yenisehir,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Gayrettepe istasyonu kuzey girişindeki asansör kapı raylarına fırça sistemi eklenmesi tıkanmaları önleyecektir.,mekanik_istasyon,0,suggestion,4,P4,3,standart,relabel:ollama
Otomatik kapı takıldı Kadıköy,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Ayrılık Çeşmesi istasyonu yürüyen merdiven yön değiştirme anahtarı takılı dönmüyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Turnike gövdesi çatlak Bostancı bilet 홓,mekanik_istasyon,0,fault_report,0,P4,3,devrik,relabel:ollama
Asansör kapı mandalı kırık,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Yenikapı aktarma geçitlerde tornelit açılma komutunu almadığı bildirildi.,mekanik_istasyon,0,fault_report,0,P2,1,standart,relabel:ollama
"Turnike yanındaki engelli geçiş kapısının menteşesi kırılmış, kapı fiziksel olarak yere sürtüyor.",mekanik_istasyon,0,fault_report,0,P3,2,,manuel_hedefli:hard_negative_kapi
levent yuruyen merdiven buzlanti tuzlanmamis sabah,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Merdiven palet zinciri kopuk,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Elektrik odası havalandırması çalışmıyor,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
pndk peron asansr kabn yazc tz,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Merdiven fehlı 단계 bozuk,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Asansör seviye farkı veriyor Şişli alt kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Turnike dönmüyor Kozyatağı 3 numaralı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Turnike kolları yumuşatılsın.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,relabel:ollama
asansor seviye farki var fevzi cakmak,mekanik_istasyon,0,fault_report,0,P1,0,yazim_yanlisi,relabel:ollama
Turnike 2 kol dönmüyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
turnike kolu donmuyo kartal cikis,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Asansör kulakçık sesi çıkarıyor Aksaray,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Sanayi Mahallesi istasyonu bariyer kapağı yerinden oynadı kapatılmıyor geçiş serbest.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Asansör seviye farkı yapıyor Üsküdar B2,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:ollama
Kapı onarımı bitti mi?,mekanik_istasyon,0,information_request,2,P4,3,cok_kisa,relabel:ollama
"Levent'teki engelli asansörlerinin tamamı bozuk, tekerlekli sandalyeli yolcu geçiş yapamıyor.",mekanik_istasyon,0,fault_report,0,P2,1,,manuel_hedefli:p2_dolayli_cogulluk
ym 06 fren basilmadi sirinevler,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Turnike mekanizması kilitlendi Kozyatağı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Kapı kolu bağlantısı koptu,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
bariyerlerin kılıt sıstemı guclendırılse daha guvenlı olur bence.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,relabel:ollama
Kartal istasyonunda besleme şalteri kapatılmıyor mekanik takılma var.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Geçiş merdiveni basamak nose kırık,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Turnike 5 mekanik arıza,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Kadıköy turnike kolu yapıldı mı?,mekanik_istasyon,0,information_request,2,P3,2,cok_kisa,relabel:ollama
Merdiven el kolları sallanıyor Pendik,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Şirinevler aktarma merkezindeki yürüyen merdiven basamaklarına kaydırmaz bant uygulaması yapılması emniyeti artıracaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,relabel:ollama
gayrettepe 3 nolu turnike kart okutmadan zorlanarak aciliyo kacak gecis var,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
oto kapi yarim kaldi yenisahra,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Yangın bariyeri açılmıyor,mekanik_istasyon,0,fault_report,0,P1,0,cok_kisa,relabel:ollama
Yürüyen merdiven yavaşladı Ataşehir 1 no,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Ne zaman takılır yeni cam kapı?,mekanik_istasyon,0,information_request,2,P4,3,devrik,relabel:ollama
Mecidiyeköy bilet holü turnikesi kol sabitlendi geçiş tamamen kapalı durumda.,mekanik_istasyon,0,fault_report,0,P2,1,standart,relabel:ollama
levent asansor kuyusuna su doldu acil mudahale,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Hamur işi yapışık kapı rayları açılmıyor,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Bakırköy istasyonu asansör çağrı butonları yanıt vermiyor kabin hareket etmiyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Aksaray istasyonu C çıkışı asansörü kapı kilidi takıldı açılmıyor teknik ekip çağrıldı.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Yenilensin turnike gövdeleri Şişhane bilet holü.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,relabel:ollama
gayrettepe asansor kuyu pompasi calismiyo su doldu,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
asansor kabin kapi takildi taksim,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Merdiven zinciri koptu Mahmutbey,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:ollama
Menderes istasyonu asansör limit switchi bozulmuş en üste çıkıp takılı kalıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Üsküdar giriş kapısı takıldı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Şişhane istasyonu giriş bariyeri kapanma süresi çok kısa yolcu sırtına vurdu.,mekanik_istasyon,0,incident_report,1,P1,0,standart,relabel:ollama
Merdiven paleti söküldü Ataköy geçiş koridoru,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Şişli istasyonu kuzey girişindeki otomatik kapıların fiziksel onarımı için teknik ekip bugün istasyona gelecek mi?,mekanik_istasyon,0,information_request,2,P4,3,standart,relabel:ollama
Açılmıyor personel dolabının kapağı Topkapı'da.,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
bariyer mekanizma dondu tavsantepe giris,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Kirazlı aktarma katındaki yürüyen yolun palet değişim süreci hakkında genel merkezden bir bilgi geldi mi?,mekanik_istasyon,0,information_request,2,P4,3,standart,relabel:ollama
Vezneciler kuzey girişindeki turnike kollarının darbelere dayanıklı yumuşak kaplama ile yenilenmesini öneriyoruz.,mekanik_istasyon,0,suggestion,4,P4,3,standart,relabel:ollama
Levent istasyonu 1 numaralı yürüyen merdiven basamak plakası kırıldı yolcu düştü.,mekanik_istasyon,0,fault_report,0,P1,0,standart,relabel:ollama
Bostancı YM-02 fren gecikmeli,mekanik_istasyon,0,fault_report,0,P1,0,cok_kisa,relabel:ollama
Yenisahra istasyonu asansör motor odası fanı çalışmıyor motor ısınma alarmı verdi.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Hacıosman istasyonu ikinci perondaki çalışmayan yürüyen yolun ne zaman devreye alınacağı konusunda bilgi beklemekteyiz.,mekanik_istasyon,0,information_request,2,P3,2,standart,relabel:ollama
Bariyer kırık personel kapısı Levent,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Merdiven basamak kırığı.,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Tamir saati belli mi?,mekanik_istasyon,0,information_request,2,P4,3,cok_kisa,relabel:ollama
Kartal istasyonu 2 numaralı asansör motor ısınır duruyor tekrarlayan arıza bildirildi.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
İTÜ-Ayazağa istasyonu turnike kolu saplandı döngüye girdi mekanik kasılma mevcut.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Bilgi var mı turnike kolu hakkında?,mekanik_istasyon,0,information_request,2,P4,3,devrik,relabel:ollama
dudullu asansr ic skiz yapms,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Eklensin koruyucu bariyer asansör önüne.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,relabel:ollama
Taksim istasyonunda asansör hizmet vermediği için yönlendirme yapıldı.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
"Mahmutbey M7 istasyon asansör kuyusu drenaj pomrası arızalı, su birikiyor.",mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Ne zaman düzelir bu yürüyen merdiven?,mekanik_istasyon,0,information_request,2,P4,3,devrik,relabel:ollama
asansor kabini ne zaman duzelcek bilgi var mi?,mekanik_istasyon,0,information_request,2,P4,3,yazim_yanlisi,relabel:ollama
asansor alarm caldi fevzi cakmak,mekanik_istasyon,0,incident_report,1,P1,0,yazim_yanlisi,relabel:ollama
Asansör kapı mandalı kırıldı Ümraniye,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
İstasyona dışarıdan giriş yaptığımız otomatik fotoselli kapının sensörü bozulmuş kapanmıyor.,mekanik_istasyon,0,fault_report,0,P3,2,,manuel_hedefli:hard_negative_kapi
Kapı lastiği soyuldu Sultanbeyli giriş,mekanik_istasyon,0,fault_report,0,P4,3,devrik,relabel:ollama
yuruyen yolun paleti bugun degisir mi acaba?,mekanik_istasyon,0,information_request,2,P4,3,yazim_yanlisi,relabel:ollama
Turnike yönlendirme kolu çatı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Halkalı istasyonu giriş otomatik kapısı takılı kalıyor el ile açılıp kapatılıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
asansorlerin icine ayna takilsa cok daha ferah olur valla.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,relabel:ollama
Asansör tamiri ne zaman biter?,mekanik_istasyon,0,information_request,2,P4,3,cok_kisa,relabel:ollama
Kadıköy M4 2 numaralı asansör seviye farkı yaratıyor yolcu ayak ucu takılıyor.,mekanik_istasyon,0,fault_report,0,P1,0,standart,relabel:ollama
oto kapi takildi gayrettepe cikis,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Merdiven emniyet freni çekti Kartal,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Yürüyen merdiven motor ısınma,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Cam kapı hortumu patladı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
asansor kapi acilmiyo bagcilar giris,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Peron yoğunluk bariyeri eklenmeli.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,relabel:ollama
Şirinevler asansör duraklamıyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Turnike gövdesi çatlak Kadıköy giriş kat,mekanik_istasyon,0,fault_report,0,P4,3,devrik,relabel:ollama
yuruyen merdiven aniden durdu gayrettepe,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
turnıke koları cok sert dıs kaplama lazim bunlara.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,relabel:ollama
Kağıthane M11 istasyonu merdiven palet arası mesafe açıldı küçük eşya düştü.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
bariyer dondu haciosman giris kat,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Bostancı koridor bariyer kalkmıyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Mecidiyeköy istasyonunda 2 numaralı yürüyen merdiven aniden durdu ve alarm verdi.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Yürüyen merdiven durdurma tuşu bozuk,mekanik_istasyon,0,fault_report,0,P1,0,cok_kisa,relabel:ollama
bariyer kolu kirdi tavsantepe giris,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Yıldız Teknik Üniversitesi istasyonu merdiven direksiyon kolu kırık yön değiştirilemiyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Otomatik kapı takıldı Şişli tünel ağzı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
asansör dugmelerı kabartmalı metal olsa daha dayanıklı olurdu.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,relabel:ollama
Asansör kullanılamıyor yolcular zorlanıyor 4.Levent,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
YM-04 merdiven aniden durdu Olimpiyat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Kadıköy asansör kabini kusmuk lekesi,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
oto kapi kapanirken takiliyo mecidiyekoy,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Kat kapısı lastiği soyuldu,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
yuruyen merdiven titriyo yenikapi alt,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Bariyer kapağı yere düştü,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Giriş kapısı yarım kaldı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Yürüyen merdiven durdu Şişli üst kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Turnike gövde çatlak var,mekanik_istasyon,0,fault_report,0,P4,3,cok_kisa,relabel:ollama
Yenikapı istasyonu asansör kabin içlerine tutunma barlarının eklenmesi yolcu güvenliği açısından faydalı olacaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,relabel:ollama
Yenilensin turnike gövdeleri Topkapı bilet holünde çok eskidi.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,relabel:ollama
turnike govesi hasarli atasehir ist,mekanik_istasyon,0,fault_report,0,P4,3,yazim_yanlisi,relabel:ollama
Asansör kapısı kapanmıyor Pendik,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Asansör seviye hatası veriyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
oto kapi motoru isindi pendik ist,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Asansör cabini sallanıyor,mekanik_istasyon,0,fault_report,0,P1,0,cok_kisa,relabel:ollama
Kadıköy istasyonu B çıkışı asansörü kapıları açılıyor kapanmıyor yolcular içeride kaldı.,mekanik_istasyon,0,incident_report,1,P1,0,standart,relabel:ollama
İstasyon girişindeki manuel demir kapıların sensörlü otomatik sistemlerle güncellenmesi erişilebilirliği kolaylaştıracaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,relabel:ollama
Asansör kapı kilitlenmiyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
Turnike 7 kapağı takılı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
oto kapi rayden cikti levent,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Değişmeli menteşeler istasyon ana giriş kapısında.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,relabel:ollama
Otomatik kapı motoru ısındı Bahçelievler,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Bostancı istasyonunda katener gerginlik cihazı blokaj yapmış hareketsiz.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:ollama
Turnike kolu kırıldı giriş katı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:gemini
asansor kapisi acilmiyo taksim ust,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Turnike geçiş yönü kilitli,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:ollama
ym 04 dondu yenisahra peron uzu,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Asansör önü kalabalık çıkış engelli 4.Levent,mekanik_istasyon,0,complaint,3,P4,3,devrik,relabel:ollama
bariyer kapanmiyo kadikoy giris,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:ollama
Yürüyen merdiven durdu Hacıosman çıkış,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:ollama
Asansör durdu katlar arası Çekmeköy,mekanik_istasyon,0,incident_report,1,P1,0,devrik,relabel:ollama
